DATA,TIP TIPSTER,ora,COTA,CINE,CAMP,GAZDE,G_LOC_TOTAL,G_ZI_TOTAL,G_U1_TOTAL,G_U2_TOTAL,G_U3_TOTAL,G_U4_TOTAL,G_U5_TOTAL,OASPETI,O_LOC_TOTAL,O_ZI_TOTAL,O_U1_TOTAL,O_U2_TOTAL,O_U3_TOTAL,O_U4_TOTAL,O_U5_TOTAL,1COTA,XCOTA,2COTA,SCOR,PAUZA,G_LOC_ACASA,G_ZI_ACASA,G_U1_ACASA,G_U2_ACASA,G_U3_ACASA,G_U4_ACASA,G_U5_ACASA,O_LOC_DEPL,O_ZI_DEPL,O_U1_DEPL,O_U2_DEPL,O_U3_DEPL,O_U4_DEPL,O_U5_DEPL
1/29/2021,,,X,ANDREAS FLEICHER,TC1,YENI MALATA,9,E,I,V,V,I,E,KARAMGIURUK,8.0,E,V,I,V,V,I,2.2,3.5,3.2,0.-0,0.-0,8,E,I,V,E,I,V,11.0,E,V,V,I,E,I
1/29/2021,,,1,ARIOSTO CREMONESI,EN2,READING,5,V,E,V,V,E,V,BOURNEMOUTH,6.0,I,I,I,E,V,I,3.25,3.25,2.3,3.-1,3.-0,5,V,V,V,I,I,V,8.0,I,I,V,I,E,E
1/29/2021,,,2,DIRK PETERS,SP1,VALADOLID,16,I,E,E,I,V,E,HUESCA,20.0,V,E,I,I,I,I,2.4,3.15,3.25,1.-3,0.-1,16,I,E,I,I,V,E,20.0,V,I,I,I,E,E
1/29/2021,,,1,ELIA YAZANDA,SP2,REAL ZARAGOZA,20,V,I,V,E,V,I,PONFERADINA,7.0,I,V,E,I,V,I,2.0,3.2,3.7,1.-0,1.-0,13,V,V,V,V,I,I,6.0,I,V,I,I,V,E
1/29/2021,,,2,HEIKI LAURILA,CHI,COQINBO,18,I,V,I,E,V,I,UNIV CHILE,7.0,V,E,E,E,I,V,3.2,3.3,2.3,0.-1,0.-0,17,I,E,I,I,I,V,9.0,V,E,I,E,V,E
1/29/2021,,,X,MAIK HOPE,EG,WADI DEGLA,17,E,I,I,I,E,I,ASWAN,14.0,E,E,E,I,I,I,2.0,3.05,3.95,0.-0,0.-0,16,E,I,I,I,V,,13.0,E,I,I,V,,
1/29/2021,,,2,RYAN GRAY,SP1,VALADOLID,16,I,E,E,I,V,E,HUESCA,20.0,V,E,I,I,I,I,2.4,3.15,3.25,1.-3,0.-1,16,I,E,I,I,V,E,20.0,V,I,I,I,E,E
1/29/2021,,,X,STEVE VORLEI,EG,WADI DEGLA,17,E,I,I,I,E,I,ASWAN,14.0,E,E,E,I,I,I,2.0,3.05,3.95,0.-0,0.-0,16,E,I,I,I,V,,13.0,E,I,I,V,,
1/3/2021,,21.0,X,ANDREAS FLEICHER,TC2,BALIKESPOR,14,E,E,V,E,V,I,ANKARASPOR,17.0,E,E,I,I,I,V,1.95,3.35,3.7,2.-2,0.-2,12,E,V,V,I,I,I,17.0,E,I,I,E,I,I
1/3/2021,,21.0,2,ARIOSTO CREMONESI,DAN1,SOENDERSKE,6,I,I,I,I,V,I,LYNGBI,12.0,V,E,I,I,V,E,2.05,3.4,3.7,1.-4,0.-2,7,I,I,I,V,I,E,11.0,V,I,V,I,I,I
1/3/2021,,18.0,1,CRISTIAN PAROT,IT3A,ALESANDRIA,6,V,E,E,E,I,E,CARARESE,11.0,I,I,V,I,E,E,2.05,3.0,3.85,1.-0,1.-0,7,V,E,E,V,I,E,6.0,I,V,E,E,E,I
1/3/2021,,20.45,X,ELIA YAZANDA,SP1,REAL MADRID,3,E,V,V,V,V,I,REAL SOCIEDAD,5.0,E,V,V,V,E,E,2.1,3.5,3.7,1.-1,0.-0,4,E,V,V,I,V,V,5.0,E,V,E,I,V,I
1/3/2021,,21.0,X,ERIC ASHONOV,TC2,BALIKESPOR,14,E,E,V,E,V,I,ANKARASPOR,17.0,E,E,I,I,I,V,1.95,3.35,3.7,2.-2,0.-2,12,E,V,V,I,I,I,17.0,E,I,I,E,I,I
1/3/2021,,19.0,1,FEJES VICTOR,IT3A,ALESANDRIA,6,V,E,E,E,I,E,CARARESE,11.0,I,I,V,I,E,E,2.05,3.0,3.85,1.-0,1.-0,7,V,E,E,V,I,E,6.0,I,V,E,E,E,I
1/3/2021,,20.45,X,FINLAY BOWEN,SP1,REAL MADRID,3,E,V,V,V,V,I,REAL SOCIEDAD,5.0,E,V,V,V,E,E,2.1,3.5,3.7,1.-1,0.-0,4,E,V,V,I,V,V,5.0,E,V,E,I,V,I
1/3/2021,,20.45,X,FONS VERNIC,SP1,REAL MADRID,3,E,V,V,V,V,I,REAL SOCIEDAD,5.0,E,V,V,V,E,E,2.1,3.5,3.7,1.-1,0.-0,4,E,V,V,I,V,V,5.0,E,V,E,I,V,I
1/3/2021,,19.0,1,FRANCESCO GALO,SP2,MIRANDES,9,V,I,E,V,V,V,MALAGA,14.0,I,V,I,I,V,I,2.45,2.85,3.1,1.-0,0.-0,15,V,E,V,I,I,E,4.0,I,I,V,E,I,V
1/3/2021,,21.0,X,GASTON ROBLES,TC2,BALIKESPOR,14,E,E,V,E,V,I,ANKARASPOR,17.0,E,E,I,I,I,V,1.95,3.35,3.7,2.-2,0.-2,12,E,V,V,I,I,I,17.0,E,I,I,E,I,I
1/3/2021,,20.3,1,GEORGE DAVIS,GE2,ST PAULI,12,V,V,V,V,V,I,HAMBURGER,4.0,I,I,E,E,V,E,3.5,3.5,2.15,1.-0,0.-0,13,V,V,V,I,V,E,4.0,I,I,E,E,V,E
1/3/2021,,20.45,X,GIOVANI TONAER,SP1,REAL MADRID,3,E,V,V,V,V,I,REAL SOCIEDAD,5.0,E,V,V,V,E,E,2.1,3.5,3.7,1.-1,0.-0,4,E,V,V,I,V,V,5.0,E,V,E,I,V,I
1/3/2021,,18.45,1,HENIO ZAWADZKI,OL2,EXCELSIOR,10,V,I,I,V,E,V,YOUNG AJAX,11.0,I,I,E,I,V,I,2.15,3.85,3.05,5.-1,3.-0,15,V,I,E,V,I,I,10.0,I,I,V,V,I,E
1/3/2021,,21.0,2,HERMAN MARCEL,DAN1,SOENDERSKE,6,I,I,I,I,V,I,LYNGBI,12.0,V,E,I,I,V,E,2.05,3.4,3.7,1.-4,0.-2,7,I,I,I,V,I,E,11.0,V,I,V,I,I,I
1/3/2021,,18.45,1,IGOR MATVEEV,OL2,EXCELSIOR,10,V,I,I,V,E,V,YOUNG AJAX,11.0,I,I,E,I,V,I,2.15,3.85,3.05,5.-1,3.-0,15,V,I,E,V,I,I,10.0,I,I,V,V,I,E
1/3/2021,,19.0,1,LIONELE DAVIDE,IT3A,ALESANDRIA,6,V,E,E,E,I,E,CARARESE,11.0,I,I,V,I,E,E,2.05,3.0,3.85,1.-0,1.-0,7,V,E,E,V,I,E,6.0,I,V,E,E,E,I
1/3/2021,,20.45,X,LUCAS MORIZ,SP1,REAL MADRID,3,E,V,V,V,V,I,REAL SOCIEDAD,5.0,E,V,V,V,E,E,2.1,3.5,3.7,1.-1,0.-0,4,E,V,V,I,V,V,5.0,E,V,E,I,V,I
1/3/2021,,22.0,1,MAX STEFENS,EN1,EVERTON,7,V,V,I,I,E,V,SOUTHAMPTON,14.0,I,I,E,I,I,I,2.15,3.5,3.65,1.-0,1.-0,16,V,I,I,I,E,I,16.0,I,I,I,I,I,E
1/3/2021,,19.0,1,NICOLAS DONALSON,IT3A,ALESANDRIA,6,V,E,E,E,I,E,CARARESE,11.0,I,I,V,I,E,E,2.05,3.0,3.85,1.-0,1.-0,7,V,E,E,V,I,E,6.0,I,V,E,E,E,I
1/3/2021,,16.0,1,NOAH KRUSE,BE1,LEUVEN,8,V,I,V,E,I,E,ROYAL ANTVERP,2.0,I,E,E,V,V,V,3.4,3.55,2.1,2.-0,2.-0,6,V,V,I,I,V,I,4.0,I,E,V,V,V,I
1/3/2021,,19.0,1,RYAN GRAY,SP2,MIRANDES,9,V,I,E,V,V,V,MALAGA,14.0,I,V,I,I,V,I,2.45,2.85,3.1,1.-0,0.-0,15,V,E,V,I,I,E,4.0,I,I,V,E,I,V
1/3/2021,,22.0,1,STEVE MASOL,EN1,EVERTON,7,V,V,I,I,E,V,SOUTHAMPTON,14.0,I,I,E,I,I,I,2.15,3.5,3.65,1.-0,1.-0,16,V,I,I,I,E,I,16.0,I,I,I,I,I,E
1/3/2021,,21.0,2,STEVE VORLEI,DAN1,SOENDERSKE,6,I,I,I,I,V,I,LYNGBI,12.0,V,E,I,I,V,E,2.05,3.4,3.7,1.-4,0.-2,7,I,I,I,V,I,E,11.0,V,I,V,I,I,I
1/3/2021,,20.45,X,TILER DAN,SP1,REAL MADRID,3,E,V,V,V,V,I,REAL SOCIEDAD,5.0,E,V,V,V,E,E,2.1,3.5,3.7,1.-1,0.-0,4,E,V,V,I,V,V,5.0,E,V,E,I,V,I
1/3/2021,,19.0,1,TOBIAS PEDERSEN,IT3A,ALESANDRIA,6,V,E,E,E,I,E,CARARESE,11.0,I,I,V,I,E,E,2.05,3.0,3.85,1.-0,1.-0,7,V,E,E,V,I,E,6.0,I,V,E,E,E,I
1/3/2021,,21.0,X,TOBY SARP,TC2,BALIKESPOR,14,E,E,V,E,V,I,ANKARASPOR,17.0,E,E,I,I,I,V,1.95,3.35,3.7,2.-2,0.-2,12,E,V,V,I,I,I,17.0,E,I,I,E,I,I
1/3/2021,,21.0,X,TOMAS KOZLOVSKI,TC2,BALIKESPOR,14,E,E,V,E,V,I,ANKARASPOR,17.0,E,E,I,I,I,V,1.95,3.35,3.7,2.-2,0.-2,12,E,V,V,I,I,I,17.0,E,I,I,E,I,I
1/3/2021,,19.0,1,TOMAS ZIGLER,IT3A,ALESANDRIA,6,V,E,E,E,I,E,CARARESE,11.0,I,I,V,I,E,E,2.05,3.0,3.85,1.-0,1.-0,7,V,E,E,V,I,E,6.0,I,V,E,E,E,I
1/3/2021,,18.45,1,VACLAV BRAIZDA,OL2,EXCELSIOR,10,V,I,I,V,E,V,YOUNG AJAX,11.0,I,I,E,I,V,I,2.15,3.85,3.05,5.-1,3.-0,15,V,I,E,V,I,I,10.0,I,I,V,V,I,E
1/3/2021,,22.0,1,VLADKO VIDATOVICI,EN1,EVERTON,7,V,V,I,I,E,V,SOUTHAMPTON,14.0,I,I,E,I,I,I,2.15,3.5,3.65,1.-0,1.-0,16,V,I,I,I,E,I,16.0,I,I,I,I,I,E
1/3/2021,,21.0,X,WALID MORAIS,TC2,BALIKESPOR,14,E,E,V,E,V,I,ANKARASPOR,17.0,E,E,I,I,I,V,1.95,3.35,3.7,2.-2,0.-2,12,E,V,V,I,I,I,17.0,E,I,I,E,I,I
1/30/2021,,,2,ARIOSTO CREMONESI,SC2,MORTON,5,I,E,I,E,E,E,ARBROAH,10.0,V,E,E,I,I,V,2.55,3.25,2.85,0.-1,0.-0,4,I,E,E,V,I,V,10.0,V,E,I,I,I,I
1/30/2021,,,1,CRISTIAN PAROT,HU1,MEZOCONVED,8,V,E,V,V,V,I,UJPEST,9.0,I,I,V,V,E,I,2.2,3.2,3.15,3.-2,1.-0,6,V,V,V,V,I,I,11.0,I,E,E,I,I,I
1/30/2021,,,1,DANIEL PEDERSEN,OL1,SITARD,12,V,V,I,V,I,V,VENLO,13.0,I,V,V,E,V,V,1.98,3.75,3.55,3.-2,1.-0,14,V,I,I,V,V,I,11.0,I,V,V,I,I,I
1/30/2021,,,1,DIRK PETERS,IT3C,VIRTUS FRANCAVILA,13,V,I,V,E,V,E,TURRIS,8.0,I,I,E,E,V,E,2.45,2.95,3.0,3.-1,2.-0,12,V,V,V,E,E,I,8.0,I,E,E,I,V,E
1/30/2021,,,2,EDI SADRIA,SP2,ALCORCON,22,I,I,V,I,V,E,MALAGA,15.0,V,I,E,E,E,I,2.4,2.85,3.2,0.-1,0.-0,19,I,I,V,I,V,V,4.0,V,E,I,V,V,E
1/30/2021,,,X,ELIA YAZANDA,BE1,EUPEN,14,E,I,I,V,V,E,MOUSCRON,16.0,E,E,V,E,V,I,2.08,3.45,3.55,1.-1,1.-0,12,E,I,V,V,I,I,17.0,E,V,I,I,V,I
1/30/2021,,,X,GANEA WISOCI,IT3B,FERMANA,14,E,I,V,E,V,E,SUDTIROL,1.0,E,V,V,E,I,E,3.95,3.1,1.98,1.-1,0.-1,11,E,V,V,V,E,E,4.0,E,E,E,V,V,V
1/30/2021,,,1,JAMIE BOWMAN,IT3B,VIS PESARO,16,V,I,I,I,I,V,MODENA,2.0,I,V,I,V,V,V,3.75,3.05,2.05,1.-0,0.-0,14,V,I,V,E,V,I,3.0,I,V,V,V,E,E
1/30/2021,,,X,LIONELE DAVIDE,EN2,HUDERSFILD,14,E,I,I,I,I,V,STOKE CYTI,9.0,E,I,E,E,I,E,3.15,3.15,2.4,1.-1,1.-1,9,E,I,I,V,V,V,6.0,E,E,E,E,E,E
1/30/2021,,,2,MIKAEL KESLER,IT3A,CARARESE,8,I,E,I,I,E,V,PRO SESTO,11.0,V,E,E,I,I,E,1.95,3.15,3.95,0.-1,0.-0,9,I,I,V,I,V,I,11.0,V,I,E,I,V,V
1/30/2021,,,1,MIKI LATVALA,GR1,ASTERAS,6,V,V,V,V,V,I,ARIS,2.0,I,V,V,I,I,E,3.05,3.0,2.55,2.-1,0.-1,6,V,V,V,I,V,E,2.0,I,V,E,I,V,E
1/30/2021,,,X,RYAN GRAY,IT3A,PRO VERCELI,3,E,V,V,E,E,I,PRO PATRIA,5.0,E,E,E,V,V,E,2.3,2.95,3.25,0.-0,0.-0,4,E,V,E,I,E,I,4.0,E,V,E,I,V,I
1/30/2021,,,X,TOBIAS MOLNER,SP1,VILAREAL,5,E,E,E,V,V,I,REAL SOCIEDAD,6.0,E,E,I,E,V,I,2.52,3.15,3.2,1.-1,1.-0,2,E,E,V,E,E,E,4.0,E,I,V,I,I,E
1/30/2021,,,X,TOBY SARP,IT3B,RAVENA,19,E,I,I,E,I,V,LEGNANO SALUS,15.0,E,V,I,I,E,E,2.5,2.75,3.15,1.-1,0.-1,13,E,E,V,I,E,I,14.0,E,I,E,I,I,E
1/30/2021,,,X,TOMAS KOZLOVSKI,GE1,WERDER BREMEN,13,E,V,I,V,E,I,SALKE,18.0,E,I,I,I,V,I,2.03,3.5,3.85,1.-1,0.-1,14,E,V,I,I,I,E,18.0,E,I,I,E,I,E
1/30/2021,,,1,TOMAS ZIGLER,AS,AL ETIFAQ,7,V,I,V,E,I,I,AL ITIHAD,4.0,I,E,V,I,V,V,2.75,3.4,2.35,2.-0,1.-0,13,V,I,E,I,V,I,5.0,I,V,V,E,E,V
1/31/2021,,,X,ANDREAS FLEICHER,BE1,ANDERLEHT,7,E,E,E,V,I,I,GENT,11.0,E,E,V,E,I,E,2.35,3.25,3.15,0.-0,0.-0,1,E,E,V,V,V,V,8.0,E,V,E,I,I,V
1/31/2021,,,2,ARIOSTO CREMONESI,POR2,PORTO B,17,I,E,I,I,E,I,VARZIM,9.0,V,E,I,V,E,I,2.25,3.3,3.0,0.-1,0.-1,15,I,E,I,I,I,I,17.0,V,E,V,I,I,I
1/31/2021,,,1,CRISTIAN PAROT,OL1,WILEM II,17,V,I,I,E,I,I,EMMEN,18.0,I,I,E,I,I,I,1.98,3.65,3.65,2.-0,1.-0,16,V,I,I,E,I,V,18.0,I,E,I,E,I,I
1/31/2021,,,X,DANIEL PEDERSEN,IT2,CITADELA,4,E,I,I,V,V,I,CREMONESE,15.0,E,E,V,I,I,I,2.08,3.15,3.95,1.-1,0.-1,3,E,V,E,V,V,V,14.0,E,V,I,V,I,E
1/31/2021,,,2,DIRK PETERS,TC1,BESIKTAS,2,I,V,V,V,E,V,TRABZONSPOR,7.0,V,V,V,E,V,V,1.87,3.7,4.0,1.-2,1.-1,1,I,V,V,V,V,V,,V,V,E,V,V,E
1/31/2021,,,1,DOMINIK RITER,IT3C,CAVESE,19,V,I,I,I,I,I,BISCEGLIE,17.0,I,E,I,I,E,V,2.15,2.95,3.6,3.-1,1.-1,19,V,I,E,I,I,I,19.0,I,E,I,I,I,I
