,Unnamed: 0,DATA,TIP TIPSTER,ora,COTA,CINE,CAMP,GAZDE,G_LOC_TOTAL,G_ZI_TOTAL,G_U1_TOTAL,G_U2_TOTAL,G_U3_TOTAL,G_U4_TOTAL,G_U5_TOTAL,OASPETI,O_LOC_TOTAL,O_ZI_TOTAL,O_U1_TOTAL,O_U2_TOTAL,O_U3_TOTAL,O_U4_TOTAL,O_U5_TOTAL,1COTA,XCOTA,2COTA,SCOR,PAUZA,G_LOC_ACASA,G_ZI_ACASA,G_U1_ACASA,G_U2_ACASA,G_U3_ACASA,G_U4_ACASA,G_U5_ACASA,O_LOC_DEPL,O_ZI_DEPL,O_U1_DEPL,O_U2_DEPL,O_U3_DEPL,O_U4_DEPL,O_U5_DEPL
0,0,1/29/2021,,,X,ANDREAS FLEICHER,TC1,YENI MALATA,9,E,I,V,V,I,E,KARAMGIURUK,8.0,E,V,I,V,V,I,2.2,3.5,3.2,0.-0,0.-0,8,E,I,V,E,I,V,11.0,E,V,V,I,E,I
1,1,1/29/2021,,,1,ARIOSTO CREMONESI,EN2,READING,5,V,E,V,V,E,V,BOURNEMOUTH,6.0,I,I,I,E,V,I,3.25,3.25,2.3,3.-1,3.-0,5,V,V,V,I,I,V,8.0,I,I,V,I,E,E
2,2,1/29/2021,,,2,DIRK PETERS,SP1,VALADOLID,16,I,E,E,I,V,E,HUESCA,20.0,V,E,I,I,I,I,2.4,3.15,3.25,1.-3,0.-1,16,I,E,I,I,V,E,20.0,V,I,I,I,E,E
3,3,1/29/2021,,,1,ELIA YAZANDA,SP2,REAL ZARAGOZA,20,V,I,V,E,V,I,PONFERADINA,7.0,I,V,E,I,V,I,2.0,3.2,3.7,1.-0,1.-0,13,V,V,V,V,I,I,6.0,I,V,I,I,V,E
4,4,1/29/2021,,,2,HEIKI LAURILA,CHI,COQINBO,18,I,V,I,E,V,I,UNIV CHILE,7.0,V,E,E,E,I,V,3.2,3.3,2.3,0.-1,0.-0,17,I,E,I,I,I,V,9.0,V,E,I,E,V,E
5,5,1/29/2021,,,X,MAIK HOPE,EG,WADI DEGLA,17,E,I,I,I,E,I,ASWAN,14.0,E,E,E,I,I,I,2.0,3.05,3.95,0.-0,0.-0,16,E,I,I,I,V,,13.0,E,I,I,V,,
6,6,1/29/2021,,,2,RYAN GRAY,SP1,VALADOLID,16,I,E,E,I,V,E,HUESCA,20.0,V,E,I,I,I,I,2.4,3.15,3.25,1.-3,0.-1,16,I,E,I,I,V,E,20.0,V,I,I,I,E,E
7,7,1/29/2021,,,X,STEVE VORLEI,EG,WADI DEGLA,17,E,I,I,I,E,I,ASWAN,14.0,E,E,E,I,I,I,2.0,3.05,3.95,0.-0,0.-0,16,E,I,I,I,V,,13.0,E,I,I,V,,
8,8,1/3/2021,,21.0,X,ANDREAS FLEICHER,TC2,BALIKESPOR,14,E,E,V,E,V,I,ANKARASPOR,17.0,E,E,I,I,I,V,1.95,3.35,3.7,2.-2,0.-2,12,E,V,V,I,I,I,17.0,E,I,I,E,I,I
9,9,1/3/2021,,21.0,2,ARIOSTO CREMONESI,DAN1,SOENDERSKE,6,I,I,I,I,V,I,LYNGBI,12.0,V,E,I,I,V,E,2.05,3.4,3.7,1.-4,0.-2,7,I,I,I,V,I,E,11.0,V,I,V,I,I,I
